Category,Region,Turnover Band,Percentage
E323 Building Installation Services,Auckland Region,08 $100m-<$200m,2.02E-05
E323 Building Installation Services,Auckland Region,09 $200m+,1.44E-06
E323 Building Installation Services,Canterbury Region,01 <$100k,0.00948078
E323 Building Installation Services,Canterbury Region,02 $100k-<$1m,0.011376204
E323 Building Installation Services,Canterbury Region,03 $1m-<$5m,0.00257602
E323 Building Installation Services,Canterbury Region,04 $5m-<$10m,0.000359966
E323 Building Installation Services,Canterbury Region,05 $10m-<$20m,0.000135387
E323 Building Installation Services,Canterbury Region,06 $20m-<$50m,8.55E-05
E323 Building Installation Services,Canterbury Region,07 $50m-<$100m,1.51E-05
E323 Building Installation Services,Canterbury Region,08 $100m-<$200m,6.40E-06
E323 Building Installation Services,Canterbury Region,09 $200m+,4.57E-07
E323 Building Installation Services,Rest of North Island,01 <$100k,0.016632657
E323 Building Installation Services,Rest of North Island,02 $100k-<$1m,0.019957905
E323 Building Installation Services,Rest of North Island,03 $1m-<$5m,0.004519255
E323 Building Installation Services,Rest of North Island,04 $5m-<$10m,0.000631508
E323 Building Installation Services,Rest of North Island,05 $10m-<$20m,0.000237518
E323 Building Installation Services,Rest of North Island,06 $20m-<$50m,0.000150053
E323 Building Installation Services,Rest of North Island,07 $50m-<$100m,2.65E-05
E323 Building Installation Services,Rest of North Island,08 $100m-<$200m,1.12E-05
E323 Building Installation Services,Rest of North Island,09 $200m+,8.02E-07
E323 Building Installation Services,Rest of South Island,01 <$100k,0.007961212
E323 Building Installation Services,Rest of South Island,02 $100k-<$1m,0.00955284
E323 Building Installation Services,Rest of South Island,03 $1m-<$5m,0.002163139
E323 Building Installation Services,Rest of South Island,04 $5m-<$10m,0.000302271
E323 Building Installation Services,Rest of South Island,05 $10m-<$20m,0.000113688
E323 Building Installation Services,Rest of South Island,06 $20m-<$50m,7.18E-05
E323 Building Installation Services,Rest of South Island,07 $50m-<$100m,1.27E-05
E323 Building Installation Services,Rest of South Island,08 $100m-<$200m,5.38E-06
E323 Building Installation Services,Rest of South Island,09 $200m+,3.84E-07
E323 Building Installation Services,Waikato Region,01 <$100k,0.007217946
E323 Building Installation Services,Waikato Region,02 $100k-<$1m,0.008660978
E323 Building Installation Services,Waikato Region,03 $1m-<$5m,0.001961186
E323 Building Installation Services,Waikato Region,04 $5m-<$10m,0.000274051
E323 Building Installation Services,Waikato Region,05 $10m-<$20m,0.000103074
E323 Building Installation Services,Waikato Region,06 $20m-<$50m,6.51E-05
E323 Building Installation Services,Waikato Region,07 $50m-<$100m,1.15E-05
E323 Building Installation Services,Waikato Region,08 $100m-<$200m,4.88E-06
E323 Building Installation Services,Waikato Region,09 $200m+,3.48E-07
E323 Building Installation Services,Wellington Region,01 <$100k,0.008076832
E323 Building Installation Services,Wellington Region,02 $100k-<$1m,0.009691575
E323 Building Installation Services,Wellington Region,03 $1m-<$5m,0.002194554
E323 Building Installation Services,Wellington Region,04 $5m-<$10m,0.000306661
E323 Building Installation Services,Wellington Region,05 $10m-<$20m,0.000115339
E323 Building Installation Services,Wellington Region,06 $20m-<$50m,7.29E-05
E323 Building Installation Services,Wellington Region,07 $50m-<$100m,1.29E-05
E323 Building Installation Services,Wellington Region,08 $100m-<$200m,5.46E-06
E323 Building Installation Services,Wellington Region,09 $200m+,3.90E-07
E324 Building Completion Services,Auckland Region,01 <$100k,0.025799614
E324 Building Completion Services,Auckland Region,02 $100k-<$1m,0.030957545
E324 Building Completion Services,Auckland Region,03 $1m-<$5m,0.007010007
E324 Building Completion Services,Auckland Region,04 $5m-<$10m,0.000979559
E324 Building Completion Services,Auckland Region,05 $10m-<$20m,0.000368424
E324 Building Completion Services,Auckland Region,06 $20m-<$50m,0.000232754
E324 Building Completion Services,Auckland Region,07 $50m-<$100m,4.11E-05
E324 Building Completion Services,Auckland Region,08 $100m-<$200m,1.74E-05
E324 Building Completion Services,Auckland Region,09 $200m+,1.24E-06
E324 Building Completion Services,Canterbury Region,01 <$100k,0.010290115
E324 Building Completion Services,Canterbury Region,02 $100k-<$1m,0.012347343
E324 Building Completion Services,Canterbury Region,03 $1m-<$5m,0.002795925
E324 Building Completion Services,Canterbury Region,04 $5m-<$10m,0.000390695
E324 Building Completion Services,Canterbury Region,05 $10m-<$20m,0.000146945
E324 Building Completion Services,Canterbury Region,06 $20m-<$50m,9.28E-05
E324 Building Completion Services,Canterbury Region,07 $50m-<$100m,1.64E-05
E324 Building Completion Services,Canterbury Region,08 $100m-<$200m,6.95E-06
E324 Building Completion Services,Canterbury Region,09 $200m+,4.96E-07
E324 Building Completion Services,Rest of North Island,01 <$100k,0.013543971
E324 Building Completion Services,Rest of North Island,02 $100k-<$1m,0.01625172
E324 Building Completion Services,Rest of North Island,03 $1m-<$5m,0.003680029
E324 Building Completion Services,Rest of North Island,04 $5m-<$10m,0.000514237
E324 Building Completion Services,Rest of North Island,05 $10m-<$20m,0.000193411
E324 Building Completion Services,Rest of North Island,06 $20m-<$50m,0.000122188
E324 Building Completion Services,Rest of North Island,07 $50m-<$100m,2.16E-05
E324 Building Completion Services,Rest of North Island,08 $100m-<$200m,9.15E-06
E324 Building Completion Services,Rest of North Island,09 $200m+,6.53E-07
E324 Building Completion Services,Rest of South Island,01 <$100k,0.006590298
E324 Building Completion Services,Rest of South Island,02 $100k-<$1m,0.007907849
E324 Building Completion Services,Rest of South Island,03 $1m-<$5m,0.001790648
E324 Building Completion Services,Rest of South Island,04 $5m-<$10m,0.00025022
E324 Building Completion Services,Rest of South Island,05 $10m-<$20m,9.41E-05
E324 Building Completion Services,Rest of South Island,06 $20m-<$50m,5.95E-05
E324 Building Completion Services,Rest of South Island,07 $50m-<$100m,1.05E-05
E324 Building Completion Services,Rest of South Island,08 $100m-<$200m,4.45E-06
E324 Building Completion Services,Rest of South Island,09 $200m+,3.18E-07
E324 Building Completion Services,Waikato Region,01 <$100k,0.006458162
E324 Building Completion Services,Waikato Region,02 $100k-<$1m,0.007749296
E324 Building Completion Services,Waikato Region,03 $1m-<$5m,0.001754746
E324 Building Completion Services,Waikato Region,04 $5m-<$10m,0.000245203
E324 Building Completion Services,Waikato Region,05 $10m-<$20m,9.22E-05
E324 Building Completion Services,Waikato Region,06 $20m-<$50m,5.83E-05
E324 Building Completion Services,Waikato Region,07 $50m-<$100m,1.03E-05
